experience/0/company,experience/1/company,experience/2/company,experience/3/company,experience/4/company,experience/0/date_range,experience/1/date_range,experience/2/date_range,experience/3/date_range,experience/4/date_range,experience/0/name,experience/1/name,experience/2/name,experience/3/name,experience/4/name,education/0,education/1,education/2,position
cloudmile wanli cloud,optoma,industrial technology research institute (itri) (industrial technology research institute (itri)),none,none,"Dates Employed
May 2019 – Present","Dates Employed
Jun 2018 – Apr 2019","Dates Employed
Feb 2016 – May 2018",,,"machine,learning,engineer","python,engineer","data,scientist",none,none,national taiwan university of science and technology,none,none,"cloudmile,wanliyun,machine,learning,engineer"
taiwan ai labs,deep force,hiwin corporation,none,none,"Dates Employed
Jan 2020 – Present","Dates Employed
Dec 2018 – Dec 2019","Dates Employed
Jul 2014 – Aug 2014",,,"machine,learning,engineer","software,engineer",intern,none,none,national taiwan university,national tsing hua university,none,"machine,learning,engineer,at,taiwan,ailabs"
appier,omnieyes,"ntu ai center, ministry of science and technology, roc",computer and information networking center,none,"Dates Employed
Feb 2020 – Present","Dates Employed
Jan 2019 – Present","Dates Employed
Mar 2019 – Present","Dates Employed
Feb 2015 – Jul 2019",,"chief,machine,learning,scientist","cofounder,currently,chief,advisor","associate,director","associate,director",none,university of southern california,university of southern california,university of southern california,"appier,chief,machine,learning,scientist"
bridgewell,yahoo,your,none,none,"Dates Employed
Nov 2017 – Present","Dates Employed
Jul 2016 – Aug 2016","Dates Employed
Jul 2015 – Jan 2016",,,"machine,learning,engineer","yahoo,search,summer,intern","data,analyst",none,none,national taiwan university,national taiwan university,none,"machine,learning,engineer,at,bridgewell"
industrial technology research institute (itri) (industrial technology research institute (itri)),yahoo,none,none,none,"Dates Employed
Sep 2016 – Feb 2020","Dates Employed
Sep 2015 – Jan 2016",,,,"software,engineermachine,learning,engineer","marketing,intern",none,none,none,national chiao tung university,national chung hsing university,national kaohsiung normal university,"software,engineer,machine,learning,engineer"
keystone semiconductor corp.,transpacific ip group,"institute of communication engineering, national chiao tung university",industrial technology research institute,none,"Dates Employed
May 2016 – Present","Dates Employed
Apr 2013 – Jan 2016","Dates Employed
Aug 2012 – Mar 2013","Dates Employed
Oct 2007 – Jul 2012",,"deputy,manager","patent,analyst","assisting,researcher","baseband,algorithm,engineer",none,national chiao tung university,none,none,"machine,learning,deep,learning,engineering"
appier,none,none,none,none,"Dates Employed
Oct 2017 – Nov 2019",,,,,"machine,learning,scientist",none,none,none,none,national taiwan university,none,none,"machine,learning,scientist"
ulsee inc.,fortinet,none,none,none,"Dates Employed
2018 – Present","Dates Employed
2015 – 2017",,,,"machine,learning,engineer","antivirus,analyst",none,none,none,national tsinghua university,national chiao tung university,none,"machine,learning,computer,vision,algorithm,engineer,at,ulsee,inc"
taiwan ai labs,academia sinica,none,none,none,"Dates Employed
Oct 2018 – Present","Dates Employed
Sep 2017 – Sep 2018",,,,"machine,learning,engineer","research,assistant",none,none,none,national cheng kung university,yuan ze university,none,"machine,learning,engineer,at,taiwan,ailabs"
appier,chunghwa telecom,104 manpower bank,none,none,"Dates Employed
Aug 2016 – Present","Dates Employed
Sep 2013 – Jul 2016","Dates Employed
Sep 2011 – Jun 2012",,,"machine,learning,scientist","associate,researcher","research,intern",none,none,national taiwan university,national taiwan university,none,"machine,learning,scientist,at,appier"
"cathay life insurance company, ltd.","cathay life insurance company, ltd.",none,none,none,"Dates Employed
Sep 2019 – Dec 2019","Dates Employed
Mar 2019 – Jun 2019",,,,"data,analyst,intern","agile,program,intern",none,none,none,national taiwan normal university,none,none,"data,analyst,time,series,analysis,machine,learning,python,sql"
none,none,none,none,none,,,,,,none,none,none,none,none,national taiwan university,national taiwan university,none,"senior,machine,learning,scientist,i,at,appier"
taiwan ai labs,lips corp.,national taiwan university,國立臺灣大學,yotta labs technology co. ltd.,"Dates Employed
Aug 2019 – Present","Dates Employed
Sep 2017 – Jun 2019","Dates Employed
Aug 2015 – Jul 2017","Dates Employed
Feb 2014 – Feb 2015","Dates Employed
Jul 2014 – Aug 2014","machine,learning,engineer","software,engineer","graduate,student,researcher","undergraduate,student,researcher","software,engineer,intern",national taiwan university,national taiwan university,none,"taiwan,ailabs,machine,learning,engineer"
academia sinica,sosauce,intumum,none,none,"Dates Employed
Feb 2010 – Jun 2011","Dates Employed
Jan 2008 – Jan 2010","Dates Employed
2000 – 2007",,,"software,engineer","software,engineer","software,engineer",none,none,national taiwan university,none,none,"director,of,machine,learning,team,of,kkbox"
taiwan ai labs,"us, chinese",ruckus networks,none,none,"Dates Employed
Feb 2020 – Present","Dates Employed
Sep 2017 – Feb 2020","Dates Employed
Jul 2016 – Aug 2016",,,"machine,learning,engineer","research,assistant",intern,none,none,national taiwan university,none,none,"taiwan,ailabs,machine,learning,engineer"
taiwan ai labs,none,none,none,none,"Dates Employed
Sep 2019 – Present",,,,,"machine,learning,engineer",none,none,none,none,national cheng kung university,national cheng kung university,none,"machine,learning,engineer,at,taiwan,ailabs"
taiwan ai labs,none,none,none,none,"Dates Employed
Jun 2019 – Present",,,,,"machine,learning,researcher",none,none,none,none,national taiwan university,none,none,"taiwan,ailabs,machine,learning,researcher"
foxconn,national conscription agency,digital music creation club,none,none,"Dates Employed
Dec 2017 – Present","Dates Employed
Oct 2016 – Sep 2017","Dates Employed
Jul 2014 – Jun 2015",,,"machine,learning,engineer","administrative,framework","club,leader",none,none,national chiao tung university,none,none,"machine,learning,engineer,at,foxconn"
taiwan ai labs,"office taichung branch, taiwan high prosecutors","academia sinica, taiwan",none,none,"Dates Employed
Sep 2018 – Present","Dates Employed
Aug 2017 – Aug 2018","Dates Employed
Jul 2014 – Aug 2014",,,"machine,learning,engineer","substitute,military,service,information,management,office","summer,research,intern",none,none,national taiwan university,national taiwan university,none,"machine,learning,engineer,at,taiwan,ailabs"
national chiao tung university,yuqing digital wisdom,none,none,none,"Dates Employed
Apr 2015 – Aug 2017","Dates Employed
Sep 2014 – Apr 2015",,,,"research,assistant","research,and,development,engineer",none,none,none,national chiao tung university,national chiao tung university,none,"appier,senior,machine,learning,scientist,ii"
cardinal blue software (piccollage),"gliacloud co., ltd.",birds eye systems private limited,barclays capital,none,"Dates Employed
Aug 2018 – Present","Dates Employed
Jan 2018 – Aug 2018","Dates Employed
Feb 2015 – Aug 2015","Dates Employed
Jul 2010 – Jun 2013",,"machine,learning,engineer","machine,learning,engineer","business,development,manager","technology,analyst,securitized,products,group",none,"indian institute of technology, kharagpur",national taiwan university,national taiwan normal university,"machine,learning,engineer"
national taiwan university,trend micro,siemens,bridgewell,none,"Dates Employed
Jul 2010 – Aug 2014","Dates Employed
Sep 2013 – Jan 2014","Dates Employed
Feb 2013 – Sep 2013","Dates Employed
Jul 2011 – Oct 2012",,"research,assistant","cloud,computing,intern","international,research,engineer","research,analyst",none,national taiwan university,national taiwan university,national taiwan university,"appier,senior,data,scientist,ii,machine,learning"
taiwan machine learning inc.,htc,linux company inc.,"sung gang information co., ltd.",none,"Dates Employed
Sep 2018 – Present","Dates Employed
Nov 2011 – Mar 2012","Dates Employed
Jul 2009 – Sep 2011","Dates Employed
Jan 2000 – Jul 2004",,director,"senior,software,engineer","research,director","writercomputer,science,books",none,national chiao tung university,national taiwan university of science and technology,national cheng kung university,"taiwan,machine,learning,inc,director"
"realtek semiconductor co., ltd.",garmin international,university of pittsburgh,corning incorporated,none,"Dates Employed
Dec 2019 – Present","Dates Employed
Aug 2018 – Jul 2019","Dates Employed
Nov 2015 – Nov 2016","Dates Employed
Jul 2014 – Aug 2014",,"system,design,engineer",engineer,"software,engineer","process,engineer",none,national cheng kung university,university of pittsburgh,none,"computer,vision,data,visualization,machine,learning,internet,of,things"
appier,"tonton technology co., ltd.",arm,國立臺灣大學,andes technology corporation,"Dates Employed
Dec 2019 – Present","Dates Employed
Mar 2019 – Dec 2019","Dates Employed
Sep 2016 – Dec 2016","Dates Employed
Sep 2016 – Nov 2016","Dates Employed
Jul 2016 – Sep 2016","software,engineer,machine,learning,operation","associate,software,engineer","cpu,ic,verification,intern","teaching,assistant,of,undergraudate,computer,architecture","cpu,vlsi,verification,summer,intern",national taiwan university,national taiwan university,jianguo middle school,"appier,software,engineer,machine,learning,operation"
appier,yoctol info.,mediatek,mediatek,none,"Dates Employed
Jan 2017 – Jun 2019","Dates Employed
Jul 2015 – Jan 2017","Dates Employed
Feb 2015 – Feb 2016","Dates Employed
Jul 2014 – Aug 2014",,"senior,machine,learning,scientist","data,scientist,lead","research,and,development,engineer","summer,intern",none,national taiwan university,national taiwan university,none,"senior,machine,learning,scientist,at,appier"
ikala,batman,htc,none,none,"Dates Employed
Feb 2019 – Present","Dates Employed
Nov 2018 – Jan 2019","Dates Employed
Mar 2017 – Nov 2018",,,"machine,learning,engineer","algorithm,engineer","research,engineer",none,none,national taiwan university,national taiwan university,none,"deep,learning,research,engineer"
siemens corporate research,none,none,none,none,"Dates Employed
Feb 2012 – Aug 2012",,,,,"engineering,intern",none,none,none,none,national taiwan university,national taiwan university,none,"appier,machine,learning,scientist,technical,lead"
university of pittsburgh,academia sinica,industrial technology research institute (itri) (industrial technology research institute (itri)),none,none,"Dates Employed
Jun 2016 – Sep 2016","Dates Employed
Jul 2014 – Jul 2015","Dates Employed
Apr 2015 – Jun 2015",,,"statistical,programmer","research,assistant","software,engineer",none,none,national chiao tung university,national experimental high school of hsinchu science park,none,"director,of,machine,learning,at,mobagel,pushing,the,landing,of,ai,with,great,precision,and,great,passion"
appier,quanta computer inc.,none,none,none,"Dates Employed
Aug 2015 – Present","Dates Employed
Oct 2013 – Aug 2015",,,,"senior,machine,learning,scientist",engineer,none,none,none,national taiwan university,national taiwan university,fengzhong,"senior,machine,learning,scientist,at,appier"
appier,yahoo,none,none,none,"Dates Employed
May 2017 – Present","Dates Employed
Sep 2013 – May 2017",,,,"senior,scientist","senior,software,engineer",none,none,none,national taiwan university,none,none,"machine,learning,scientist,technical,lead,at,appier"
appier,academia sinica,none,none,none,"Dates Employed
Mar 2016 – Oct 2018","Dates Employed
Aug 2015 – Mar 2016",,,,"machine,learning,scientist","research,assistant",none,none,none,national tsing hua university,national taiwan university,none,"machine,learning,engineer"
berry ai,"bravo ideas digital co., ltd.",none,none,none,"Dates Employed
Dec 2019 – Present","Dates Employed
Jul 2015 – Aug 2015",,,,"machine,learning,engineer","web,programming,intern",none,none,none,national tsinghua university,national tsinghua university,national tsinghua university,"berry,ai,machine,learning,engineer"
"taiwan semiconductor manufacturing co., ltd.",none,none,none,none,,,,,,"machine,learning,engineer",none,none,none,none,none,none,none,"machine,learning,engineer,taiwan,semiconductor,manufacturing,co,ltd"
jim idle freelance,xrex inc.,proofpoint,antlr lexer/parser/generator open source project freelance,"armorize technologies, inc.","Dates Employed
Feb 2020 – Present","Dates Employed
Aug 2018 – Feb 2020","Dates Employed
Jun 2013 – Jun 2018","Dates Employed
Nov 2005 – Jan 2017","Dates Employed
Oct 2011 – Jun 2013","independent,contractor,compilers,and,machine,learning","cto,and,cofounder","chief,software,architect,advanced,development",contributor,"chief,software,architect",none,none,none,"independent,contractor,machine,learning,compilers,go,java,c,c"
national immigration agency,microsoft research asia,national taiwan university,none,none,"Dates Employed
Mar 2014 – Feb 2015","Dates Employed
Aug 2013 – Jan 2014","Dates Employed
Aug 2011 – Jan 2014",,,"substitute,services,draftees","research,intern","master,student",none,none,national taiwan university,national chiao tung university,none,"technical,lead,senior,machine,learning,scientist,iii,ad,team,at,appier"
appier,national taiwan university,gmobi | general mobile corporation,"bridgewell, 宇匯知識科技",academia sinica,"Dates Employed
Mar 2020 – Present","Dates Employed
Sep 2017 – Present","Dates Employed
Apr 2016 – Dec 2016","Dates Employed
Feb 2013 – Feb 2016","Dates Employed
Feb 2010 – May 2011","machine,learning,scientist","adjunct,instructor","data,scientist","data,scientist","research,assistant",national taiwan university,national tsing hua university,national taiwan university,"machine,learning,scientist,at,appier"
none,none,none,none,none,,,,,,none,none,none,none,none,none,none,none,"trend,micro,machine,learning,engineer"
vivotek,taiwan ai academy,"office of homeland security, executive yuan",cern,none,"Dates Employed
Jul 2019 – Present","Dates Employed
Sep 2018 – Jan 2019","Dates Employed
Jun 2017 – Jun 2018","Dates Employed
Mar 2013 – Jul 2014",,"machine,learning,computer,vision,engineer","taiwan,artificial,intelligence,school,taipei,main,school,technical,leadership,class,3","1year,substitute,military,service","member,of,technical,staff,electrical,engineering",none,university of washington,"university of washington, michael g. foster school of business",university of washington,"computer,vision,algorithm,engineer,at,vivotek"
geovision,tsmc,none,none,none,"Dates Employed
Oct 2016 – Present","Dates Employed
May 2012 – Sep 2016",,,,"vision,algorithm,engineer","process,engineer",none,none,none,national tsing hua university,none,none,"vision,algorithm,engineer,including,machine,learning,algorithm"
onead,national palace museum,san lien technology corp. (sanlian technology corp.),none,none,"Dates Employed
Nov 2016 – Present","Dates Employed
Sep 2015 – Aug 2016","Dates Employed
Jun 2012 – Aug 2012",,,"machine,learning,engineer","substitute,military,service",intern,none,none,soochow university,soochow university,none,"machine,learning,engineer"
takema smart emotibot,swiitt computing inc.,htc,cyberlink,none,"Dates Employed
Mar 2018 – Sep 2018","Dates Employed
Feb 2013 – Mar 2018","Dates Employed
2009 – 2012","Dates Employed
2005 – 2008",,"technical,manager","cofounder,software,developer","principal,engineer","senior,engineer",none,national taiwan university,national taiwan university,none,"machine,learning,researcher,and,engineer"
chan chung group,none,none,none,none,"Dates Employed
Nov 2017 – Present",,,,,"machine,learning,engineer",none,none,none,none,national taiwan university,national taiwan university,none,"machine,learning,engineer"
tsmc,macronix,none,none,none,"Dates Employed
Jun 2016 – Present","Dates Employed
Aug 2012 – Jun 2016",,,,"sr,engineer","group,leader,of,image,data,analysis,team",none,none,none,national tsing hua university,national tsing hua university,none,"machine,learning,engineer"
digital domain,delta electronics,intel-ntu research center of connected context computing,none,none,"Dates Employed
Sep 2018 – Present","Dates Employed
Dec 2015 – Apr 2018","Dates Employed
Sep 2015 – Nov 2015",,,"machine,learning,scientist","interactive,programming,engineer,delta,research,center","research,assistant",none,none,national taiwan university,national taiwan university,none,"machine,learning,scientist,at,digital,domain"
chunghwa telecom,nethome/pchome online,ruiyang information,none,none,"Dates Employed
Mar 2018 – Present","Dates Employed
Jun 2016 – Mar 2018","Dates Employed
Jul 2014 – Nov 2014",,,"machine,learning,engineer","backend,developer",servitor,none,none,fu jen catholic university,fu jen catholic university,none,"chunghwa,telecom,machine,learning,engineer"
emotibot.com,elasticmining,ibm,national taiwan university,ibm,"Dates Employed
Feb 2016 – Present","Dates Employed
Nov 2015 – Apr 2016","Dates Employed
Nov 2014 – Feb 2016","Dates Employed
Sep 2012 – Jul 2014","Dates Employed
Jul 2013 – Aug 2013","machine,learning,engineer","cofounder,and,author","machine,learning,engineer","master,of,electrical,engineering,computer,science","summer,intern",national taiwan university,national central university,none,"machine,learning,engineer,at,emotibot,com"
"sanzhu information co., ltd.",none,none,none,none,"Dates Employed
May 2019 – Present",,,,,"machine,learning,engineer",none,none,none,none,national taiwan normal university,none,none,"machine,learning,engineer,of,sanzhu,information,co,ltd"
androvideo,"infinite ark technology co., ltd.",none,none,none,"Dates Employed
Jan 2019 – Present","Dates Employed
Aug 2018 – Jan 2019",,,,"machine,learning,engineer","data,engineer",none,none,none,national taipei university of technology,tamkang university,none,"androvideo,machine,learning,engineer"
tsmc,au optronics,none,none,none,"Dates Employed
Mar 2018 – Present","Dates Employed
Jun 2016 – Jul 2016",,,,"machine,learning,engineer","data,analyst",none,none,none,national tsinghua university,national taiwan university of science and technology,none,"machine,learning,engineer,at,tsmc"
trend micro,"ruten - pchome ebay co., ltd.",none,none,none,"Dates Employed
Aug 2017 – May 2020","Dates Employed
Jan 2016 – Jul 2017",,,,"machine,learning,engineer","data,scientist",none,none,none,national chengchi university,national sun yat-sen university,none,"machine,learning,engineer,at,trend,micro"
vysioneer,national taiwan university,ekral,nvidia 台灣,none,"Dates Employed
Feb 2020 – Present","Dates Employed
Jul 2019 – Oct 2019","Dates Employed
Jan 2018 – Jul 2019","Dates Employed
Jul 2016 – Sep 2016",,"machine,learning,scientist","research,assistant","software,engineer","software,engineer",none,national taiwan university,national taiwan university,none,"vysioneer,machine,learning,scientist"
tsmc,none,none,none,none,"Dates Employed
Aug 2016 – Present",,,,,"machine,learning,engineer",none,none,none,none,national tsing hua university,national cheng kung university,none,"machine,learning,engineer,at,tsmc"
knowtions research,"cobinhood, ltd.",trend micro,mediatek,none,"Dates Employed
Jun 2019 – Present","Dates Employed
Apr 2018 – May 2019","Dates Employed
Aug 2017 – Apr 2018","Dates Employed
Jul 2015 – Aug 2015",,"machine,learning,engineer","data,scientist","machine,learning,researcher,and,software,engineer","intern,and,tester",none,national taiwan university,taipei city university of education,national taichung first high school,"machine,learning,researcher,software,engineer"
shopee,yuhui knowledge technology,national taiwan university,eztable,none,"Dates Employed
Mar 2020 – Present","Dates Employed
Jun 2016 – Oct 2017","Dates Employed
Feb 2016 – Oct 2017","Dates Employed
Jul 2014 – Sep 2014",,"machine,learning,engineer","research,intern","research,assistant","summer,intern",none,national taiwan university,national taiwan university,none,"machine,learning,engineer,at,shopee"
spinwear,inquartik co.,none,none,none,"Dates Employed
Jul 2018 – Oct 2019","Dates Employed
Dec 2016 – Jun 2018",,,,"data,scientist",engineer,none,none,none,ie business school,national taiwan university,none,"data,scientist,machine,learning,engineer"
foxconn,excuse me,soochow university,none,none,"Dates Employed
Jun 2020 – Present","Dates Employed
Apr 2018 – Jul 2018","Dates Employed
Sep 2017 – Feb 2018",,,"machine,learning,engineer","data,analyst,intern","research,assistant",none,none,university of glasgow,soochow university,none,"machine,learning,engineer,at,foxconn"
inventec,trista chen consulting,neu • new engineering university - acquired by galvanizeu,cognitive networks - acquired by vizio,fotolugu,"Dates Employed
2018 – Present","Dates Employed
2014 – Present","Dates Employed
2014","Dates Employed
2012 – 2014","Dates Employed
2011 – 2014","chief,scientist,of,machine,learning",owner,"consulting,professor","director,of,core,application,engineering",founderceo,carnegie mellon university,national tsing hua university,national experimental high school,"machine,learning,computer,vision,ai"
fuying data,will,none,none,none,"Dates Employed
Apr 2019 – Oct 2019","Dates Employed
Sep 2018 – Apr 2019",,,,"data,engineer","data,analyst",none,none,none,taiwan university,kaohsiung normal university,none,"machine,learning,engineer"
none,none,none,none,none,,,,,,none,none,none,none,none,georgia institute of technology,national chiayi university,none,"python,programmer,machine,learning,deep,learning,engineer"
nvidia,foxconn,"viking products, inc.",royalcert international registrars,georgia international certification,"Dates Employed
Feb 2017 – Present","Dates Employed
Aug 2015 – Feb 2017","Dates Employed
Aug 2012 – Aug 2015","Dates Employed
2011 – Aug 2015","Dates Employed
2006 – Aug 2015","data,scientist","senior,software,engineer,machine,learning,engineer","business,consultant,ap,region",auditor,"senior,engineer",national cheng kung university,national cheng kung university,national cheng kung university,"data,scientist,machine,learning,engineer"
cherry,hua nan financial holdings co. ltd.,"south china insurance co., ltd.",none,none,"Dates Employed
Apr 2020 – Present","Dates Employed
Apr 2016 – Jun 2019","Dates Employed
Apr 2015 – May 2016",,,"machine,learning,engineer","data,scientist","risk,management,specialist",none,none,national chengchi university,none,none,"machine,learning,engineer"
facebook,national chiao tung university,none,none,none,"Dates Employed
Jun 2017 – Sep 2017","Dates Employed
Mar 2016 – Jul 2016",,,,"software,engineer,intern","instructional,manager",none,none,none,"university of california, santa cruz",national chiao tung university,none,"machine,learning,engineer,at,facebook"
none,none,none,none,none,,,,,,none,none,none,none,none,national taiwan university,none,none,"machine,learning,and,data,scientist,at,htc"
cattail is also beautiful,"shanghai silver technology co., ltd.",lucky network technology,none,none,"Dates Employed
Aug 2019 – Present","Dates Employed
Nov 2017 – Mar 2019","Dates Employed
Nov 2015 – Nov 2016",,,"machine,learning,engineer","artificial,intelligence,engineer",ioc,none,none,national chung hsing university,national taiwan university,none,"machine,learning,engineer"
information security service digital united inc. information security service digital united inc.,united microelectronics corporation (umc),united microelectronics corporation (umc),au optronics corporation america,none,"Dates Employed
Sep 2019 – Present","Dates Employed
May 2017 – Mar 2018","Dates Employed
Jul 2014 – Sep 2016","Dates Employed
Sep 2013 – May 2014",,"machine,learning,engineer","research,and,development,engineer","senior,integration,engineer","senior,engineer",none,national tsinghua university,"international trade institute, taitra",ucom programming bootcamp,"machine,learning,engineer,data,science"
none,none,none,none,none,,,,,,none,none,none,none,none,national taiwan university,national taiwan university,none,"speech,processing,and,machine,learning,lab,ntu"
mckinsey & company,line corp,none,none,none,"Dates Employed
Sep 2019 – Present","Dates Employed
Jul 2018 – Sep 2019",,,,"machine,learning,engineer,intern","tech,fresh,intern",none,none,none,national taiwan university,national taiwan university,none,"machine,learning,engineer,intern,at,mckinsey,company"
carrefour contract,rexel,dcn,alten,orbees medical,"Dates Employed
Sep 2019 – Present","Dates Employed
Oct 2016 – Aug 2019","Dates Employed
Mar 2016 – Sep 2016","Dates Employed
Feb 2015 – Jul 2015","Dates Employed
Aug 2013","vie,data,analyst","data,scientist","machine,learning,intern","research,and,development,intern","french,correspondent","télécom bretagne (formerly enst de bretagne, national school of telecommunications in brittany)",stellenbosch university / stellenbosch university,university of electronic science and technology,"looking,for,opportunities,all,around,the,world"
quantrend technology,digifinex global,aeneas technology system,dataspartan,none,"Dates Employed
Jun 2020 – Present","Dates Employed
Sep 2019 – Mar 2020","Dates Employed
Sep 2018 – May 2019","Dates Employed
Jun 2017 – Sep 2017",,"machine,learning,quantitative,researcher","quantitative,analyst","quantitative,analyst","machine,learning,engineer",none,university college london,university of london-king's college,national taiwan ocean university,"quantitative,researcher,machine,learning"
pubgame (net publishing),established,none,none,none,"Dates Employed
Sep 2014 – May 2015","Dates Employed
Jul 2014 – Sep 2014",,,,"data,analyst,internship","data,engineer,internship",none,none,none,national taiwan university,national taiwan university,none,"machine,learning,engineeer"
yushan financial holdings,national chiao tung university,txc technology inc.,united microelectronics corporation (umc),none,"Dates Employed
Oct 2018 – Present","Dates Employed
Aug 2017 – Present","Dates Employed
Jan 2015 – Jul 2016","Dates Employed
Jul 2014 – Sep 2014",,"machine,learning,engineer","data,scientist","junior,software,engineer",intern,none,national tsing hua university,national tsing hua university,none,"machine,learning,engineer,at,esun,bank"
bqool,none,none,none,none,"Dates Employed
Mar 2017 – Present",,,,,"senior,machine,learning,engineer",none,none,none,none,national chung cheng university,none,none,"bqoolsenior,machine,learning,engineer"
taiwan ai labs,"academia sinica, taiwan","music and audio computing lab, research center for it innovation, academia sinica, taiwan",inria,none,"Dates Employed
Apr 2019 – Present","Dates Employed
Aug 2018 – Mar 2019","Dates Employed
Oct 2011 – Jul 2018","Dates Employed
Apr 2015 – Oct 2015",,"machine,learning,researcher","postdoctoral,researcher","research,assistant","research,intern",none,national taiwan university,autonomous university of barcelona,national chengchi university,"machine,learning,researcher,at,taiwan,ailabs"
trend micro,kkbox inc.,none,none,none,"Dates Employed
Feb 2020 – Present","Dates Employed
Jul 2018 – Jun 2019",,,,"machine,learning,engineer","data,scientist,intern",none,none,none,national chengchi university,national taipei university,none,"trend,micro,machine,learning,engineer"
"master international co., ltd.",qinglei anti-counterfeiting technology,none,none,none,"Dates Employed
Jul 2018 – Present","Dates Employed
Oct 2016 – Jun 2018",,,,"data,analyst","cloud,project,manager",none,none,none,national tsinghua university,none,none,"machine,learning,engineer,machine,learning,scientist,data,analyst"
pegatron,none,none,none,none,"Dates Employed
Mar 2012 – Mar 2017",,,,,"senior,software,engineer",none,none,none,none,national chung cheng university,none,none,"machine,learning,engineer"
tsmc,taiwan institute for governance and communication research,cathay united bank,none,none,"Dates Employed
Jul 2020 – Present","Dates Employed
Nov 2019 – Jun 2020","Dates Employed
Jun 2019 – Aug 2019",,,"machine,learning,intern","research,assistant","data,science,intern",none,none,national chengchi university,national sun yat-sen university,none,"machine,learning,intern,at,tsmc"
national tsinghua university,none,none,none,none,"Dates Employed
Sep 2016 – Feb 2017",,,,,"teaching,assistant",none,none,none,none,national tsinghua university,national chung cheng university,none,"senior,machine,learning,software,engineer"
i,ecoembes,none,none,none,"Dates Employed
May 2018 – May 2019","Dates Employed
Feb 2018 – Jul 2018",,,,"maths,teacher",internship,none,none,none,national university of distance education - u.n.e.d.,national university of distance education - u.n.e.d.,universidad pública de navarra,"machine,learning"
"gigabyte technology co., ltd. gigabyte",none,none,none,none,"Dates Employed
Mar 2018 – Present",,,,,"machine,learning,engineer",none,none,none,none,tamkang university,none,none,"machine,learning,engineer"
shopback,owned outcomes,vigilant,columbia university in the city of new york,owned outcomes,"Dates Employed
Aug 2020 – Present","Dates Employed
Feb 2019 – May 2020","Dates Employed
Oct 2018 – Dec 2018","Dates Employed
Jan 2018 – Dec 2018","Dates Employed
Jun 2018 – Aug 2018","software,engineer,search","software,engineer,data,machine,learning","software,engineer,internship","secretary,of,taiwanese,student,association","software,engineer,internship,machine,learning",columbia university in the city of new york,national tsing hua university,none,"software,engineer,search,at,shopback"
none,none,none,none,none,,,,,,none,none,none,none,none,national chung hsing university,tunghai university,none,"machine,learning,engineer"
simplylive,industrial technology research institute (itri) (industrial technology research institute (itri)),some limited,international game system (igs),none,"Dates Employed
Aug 2019 – Present","Dates Employed
Dec 2018 – Aug 2019","Dates Employed
Nov 2015 – Oct 2017","Dates Employed
Mar 2012 – Nov 2015",,"senior,ai,engineer","deep,learning,engineer","software,developer","game,developer",none,national taiwan university,national cheng kung university,none,"machine,learning,engineer,software,developer"
cinnamon ai,self-employed,tutorabc,台灣大哥大 taiwan mobile,none,"Dates Employed
Jul 2019 – Present","Dates Employed
Jun 2018 – Present","Dates Employed
Jan 2017 – Mar 2018","Dates Employed
Jun 2015 – Jan 2016",,"ai,researcher","aimachine,learningdeep,learning,researcher","user,experience,engineer","software,qa,engineer",none,taiwan ai academy,none,none,"ai,machine,learning,deep,learning,researcher"
none,none,none,none,none,,,,,,none,none,none,none,none,none,none,none,"data,scientist,machine,learning,python"
rakuten,masterwork aoitek tech. corp. ltd.,yuan ze university,agile solutions,beta group,"Dates Employed
Feb 2020 – Present","Dates Employed
Nov 2013 – Feb 2020","Dates Employed
Sep 2008 – Sep 2013","Dates Employed
Apr 2008 – Aug 2008","Dates Employed
Jun 2006 – Apr 2008","machine,learning,researcher","algorithm,engineer","research,assistant","supply,chain,consultant","production,manager",yuan-ze university,central american technological university,none,"machine,learning,researcher,at,rakuten"
"delta electronics, inc.",quantitative information research,none,none,none,"Dates Employed
Nov 2011 – Feb 2013","Dates Employed
Mar 2010 – Nov 2011",,,,"principle,engineer",founder,none,none,none,the university of melbourne,national taiwan university,none,"machine,learning,scientist,at,neutec,software"
piccollage,"leopard mobile taiwan snow leopard technology co., ltd.",delta electronics,none,none,"Dates Employed
Nov 2019 – Present","Dates Employed
Apr 2017 – Sep 2017","Dates Employed
Jul 2016 – Mar 2017",,,"machine,learning,engineer","data,operation,intern","data,analyst,intern",none,none,national taiwan university,national chiao tung university,none,"machine,learning,engineer,at,piccollage"
androvideo,oneworks limited,"maxnerva, a foxconn affiliated company",kaiku technology,institute for information industry,"Dates Employed
Aug 2019 – Present","Dates Employed
Aug 2018 – Jul 2019","Dates Employed
Jan 2018 – Jul 2018","Dates Employed
Jan 2018 – Jul 2018","Dates Employed
Nov 2016 – Oct 2017","machine,learning,researcher","deep,learning,scientist","deep,learning,scientist","data,scientist","data,scientist",national taiwan normal university,national taiwan normal university,none,"machine,learning,researcher,at,androvideo"
tsmc,gorilla technology group,trend micro,vmware,cybersoft digital services corp.,"Dates Employed
Jul 2020 – Present","Dates Employed
May 2019 – Jun 2020","Dates Employed
Mar 2017 – May 2019","Dates Employed
Jul 2016 – Feb 2017","Dates Employed
Aug 2013 – Jun 2016","machine,learning,engineer","software,engineer","senior,engineer","software,engineer","senior,software,engineer",national taiwan university,national tsing hua university,udacity,"tsmc,machine,learning,engineer"
